List File,46R2.lst
Start Time,2017-02-17  17:06:31
Sampling Time,43 sec

Count,205
Particles / ml,11090

Efficiency,8.6%
PPUI,1.25

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),104.61,19.81,374.33,72.86,69.65
Aspect Ratio,0.71,0.19,0.98,0.17,23.42
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.60,0.12,0.93,0.17,27.64
Circularity (Hu),0.82,0.27,1.00,0.15,18.42
Compactness,2.48,1.10,8.77,1.31,52.79
Diameter (ABD),10.91,5.02,21.83,3.77,34.55
Diameter (ESD),13.52,6.20,28.71,4.35,32.19
Elongation,5.51,1.00,25.53,4.26,77.40
Geodesic Aspect Ratio,0.30,0.04,1.00,0.22,72.93
Geodesic Length,26.69,8.18,103.04,14.58,54.62
Geodesic Thickness,6.07,1.99,13.36,2.45,40.32
Image Height,37.31,20.00,78.00,9.49,25.44
Image Width,39.26,21.00,64.00,8.48,21.59
Intensity,162.21,103.47,215.53,16.29,10.04
Length,16.03,6.70,35.58,5.10,31.82
Perimeter,65.52,29.40,214.15,28.46,43.44
Roughness,1.37,1.07,2.72,0.27,19.70
Sigma Intensity,37.40,4.80,55.21,10.80,28.88
Sum Intensity,81016.56,19904.00,2.64e+005,47094.56,58.13
Transparency,0.20,0.05,0.52,0.10,49.19
Volume (ABD),939.94,66.31,5448.12,1000.34,106.43
Width,10.42,2.79,23.35,4.07,39.05

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,5,2.44,0.21,270,0.04
7-8um,10,4.88,0.62,541,0.12
8-9um,7,3.41,0.64,379,0.12
0-5um,0,0.00,0.00,0.00,0.00
5-10um,37,18.05,3.39,2002,0.65
10-15um,101,49.27,27.13,5464,5.22
15-20um,53,25.85,39.29,2867,7.56
20-25um,7,3.41,11.19,379,2.15
25-30um,7,3.41,18.99,379,3.65
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,14,6.83,1.84,757,0.35
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

