List File,156.lst
Start Time,2017-02-20  18:05:23
Sampling Time,35 sec

Count,259
Particles / ml,17073

Efficiency,8.6%
PPUI,1.49

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),103.44,19.81,2101.95,171.19,165.50
Aspect Ratio,0.69,0.18,1.00,0.22,31.61
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.55,0.00,0.94,0.26,47.22
Circularity (Hu),0.75,0.24,1.00,0.21,27.40
Compactness,3.35,1.00,15.49,2.62,78.25
Diameter (ABD),10.02,5.02,51.73,5.61,55.94
Diameter (ESD),13.78,5.83,64.50,8.28,60.10
Elongation,8.27,1.00,46.64,8.39,101.55
Geodesic Aspect Ratio,0.30,0.02,1.00,0.29,95.92
Geodesic Length,31.20,6.44,208.60,28.51,91.39
Geodesic Thickness,5.19,1.63,17.08,2.75,52.91
Image Height,39.07,21.00,137.00,16.59,42.45
Image Width,39.31,23.00,109.00,15.77,40.13
Intensity,168.36,95.05,192.41,16.27,9.66
Length,16.83,6.11,73.65,11.10,65.97
Perimeter,72.77,25.76,440.66,56.67,77.87
Roughness,1.50,1.04,3.56,0.41,27.57
Sigma Intensity,32.67,7.24,57.13,9.12,27.92
Sum Intensity,79763.86,21655.00,1.09e+006,95035.94,119.15
Transparency,0.25,0.04,0.55,0.12,50.26
Volume (ABD),1279.82,66.31,72493.11,4978.11,388.97
Width,9.82,3.53,51.58,5.54,56.41

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,5,1.93,0.06,330,0.04
6-7um,11,4.25,0.19,725,0.11
7-8um,31,11.97,0.81,2043,0.46
8-9um,24,9.27,0.88,1582,0.50
0-5um,0,0.00,0.00,0.00,0.00
5-10um,100,38.61,3.40,6592,1.92
10-15um,78,30.12,8.07,5142,4.57
15-20um,27,10.42,9.05,1780,5.12
20-25um,14,5.41,9.98,923,5.65
25-30um,11,4.25,13.28,725,7.51
30-35um,8,3.09,17.36,527,9.82
35-40um,3,1.16,9.60,198,5.43
40-45um,3,1.16,12.90,198,7.30
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,1,0.39,16.37,66,9.26
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,27,10.42,1.42,1780,0.80
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

