List File,C12-4.lst
Start Time,2017-02-20  14:39:51
Sampling Time,46 sec

Count,415
Particles / ml,20763

Efficiency,8.6%
PPUI,1.43

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),91.92,19.60,680.81,57.90,62.99
Aspect Ratio,0.72,0.42,0.99,0.12,16.23
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.67,0.15,0.87,0.11,16.91
Circularity (Hu),0.87,0.32,0.98,0.10,11.29
Compactness,2.04,1.14,8.35,1.09,53.43
Diameter (ABD),10.43,5.00,29.44,2.89,27.68
Diameter (ESD),12.48,6.14,35.00,3.13,25.03
Elongation,4.05,1.00,24.20,3.56,88.07
Geodesic Aspect Ratio,0.37,0.04,1.00,0.21,55.30
Geodesic Length,21.65,6.80,75.22,8.71,40.24
Geodesic Thickness,6.77,1.64,13.56,2.27,33.49
Image Height,35.19,21.00,74.00,6.35,18.05
Image Width,38.21,23.00,82.00,6.90,18.07
Intensity,164.59,97.56,189.46,13.12,7.97
Length,14.72,6.98,42.27,3.77,25.62
Perimeter,56.85,27.19,171.95,16.47,28.97
Roughness,1.33,1.06,2.20,0.25,18.82
Sigma Intensity,38.36,3.93,55.90,11.55,30.10
Sum Intensity,74613.20,17827.00,3.22e+005,37128.70,49.76
Transparency,0.17,0.08,0.49,0.07,44.30
Volume (ABD),746.50,65.29,13363.00,896.76,120.13
Width,9.69,3.11,27.48,2.76,28.52

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,4,0.96,0.11,200,0.03
7-8um,8,1.93,0.34,400,0.09
8-9um,24,5.78,1.54,1201,0.40
0-5um,0,0.00,0.00,0.00,0.00
5-10um,72,17.35,5.22,3602,1.34
10-15um,259,62.41,47.81,12958,12
15-20um,71,17.11,32.17,3552,8.25
20-25um,9,2.17,9.86,450,2.53
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,1,0.24,4.38,50,1.12
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,36,8.67,3.23,1801,0.83
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

